id,date,photo,mold,brand,plastic,color,stamped_weight,scale_weight,condition,price,notes
001,2026-07-01,"001-cicada.jpg","Cicada","Discraft","Z","pink","not stamped","171","9","11","Z Line; flight 7/6/-1/1; no ink; rainbow holographic foil stamp; translucent"
002,2026-07-01,"002-fd.jpg","FD","Discmania","C-Line","red/yellow","175","176.6","9","13","C-Line fairway driver; flight 7/6/0/1; two-tone red over yellow dye; Reinvent Your Game stamp; no ink"
003,2026-07-06,"","unknown","Innova","unknown","unknown","168","168.4","8","8","Team Innova stamp; ink on back; mold TBD from photo"
004,2026-07-06,"","Buzzz","Discraft","unknown","unknown","177","178","9","11","Custom donut stamp; no ink"
005,2026-07-06,"","Buzzz","Discraft","ESP","pink","not stamped","180","8.5","13","Paul McBeth 6X stamp; ink on back"
006,2026-07-06,"","Mako3","Innova","unknown","yellow","171","172","9","10","Custom shark design stamp; no ink"
007,2026-07-06,"","Buzzz","Discraft","Z FLX","unknown","not stamped","178.6","9","15","Chris Dickerson 2024 Tour Series; no ink"
008,2026-07-06,"","Cicada","Discraft","unknown","purple","not stamped","170","9","15","Missy Gannon 2026 Tour Series; no ink"
